id;дата;время;рейтинг;текст;автор;is_verified;is_hidden;hiding_type;likes_count;comments_count;official_answer;фото_count;provider;url
161619698;2025-05-30;21:36:39;1;Самая хреньььььовая страховка , два дня уже не могут мне сделать ее . Не кому не рекомендую . Оператору на пофигу общаются , их даже не обучают . Что нам теперь не ездить на машине ? Не можем выехать . Беспредел;Мисс B;False;False;;4;0;;0;2gis;
159734866;2025-05-21;12:58:55;1;Для изменения страховки, во время оплаты удерживал 20 процентов от суммы. Такая комиссия ни где нету;Rustam Assilov;False;False;;3;0;;0;2gis;
157741346;2025-05-11;15:07:17;5;Здравствуйте, Как вернуть за не использованнную страховку , после оплаченного микрозайма. Напишите пожалуйста.;АСЕМ ДЖАМАЛОВА;False;False;;1;0;;1;2gis;
155841663;2025-05-02;15:27:39;5;Спасибо большое, менеджер Темирлан очень помог;Big Bro;False;False;;0;0;;0;2gis;
154549539;2025-04-26;15:02:17;1;В связи с вопиюще некомпетентным обслуживанием требую объяснений! Операторы позволяют себе хамское общение, а менеджер, вместо оказания помощи в решении вопроса о наличии страховки, беспрестанно ссылается на личный кабинет, демонстрируя полное пренебрежение своими должностными обязанностями. Более того, менеджер позволил себе косвенно оскорбить меня, намекая на мою неспособность разобраться в элементарной ошибке, предписывая мне самостоятельно искать решение проблемы. Требую принятия мер в отношении сотрудников, допустивших подобное недопустимое поведение, и предоставления мне квалифицированной помощи в решении моего вопроса. В противном случае буду вынуждена обратиться в вышестоящие инстанции для защиты своих прав как потребителя. Так ещк и при введение кода в личном кабинете не принемается;Aray Aidarbekkyzy;False;False;;10;0;;0;2gis;
152524519;2025-04-16;15:59:36;5;Менеджер Жан ға рахмет жылдам істеп берді !;Ғабиден Мырзахметов;False;False;;0;0;;0;2gis;
152509082;2025-04-16;14:37:51;1;Хуже может быть только ад! Не Дай Бог никому связаться с этой конторой! Они делают всё и даже больше, чтобы оттянуть сроки выплаты страховой премии! В call-центре сидят студенты, не то, чтобы дать ответ на вопрос, они не понимают о чём речь вообще. Имейте ввиду, специалист один на всю страну, очень занят, соеденить нельзя, возможно умер, руководства нет, с ними тоже не соединяют, в системе работают роботы, а не люди, типичная “шарашкина контора”. Срок рассмотрения документа 3 дня, с момента его добавления на сайт, я предложила свою помощь, сказала приеду и помогу открыть его, могу даже прочитать вслух, чтобы не сильно напрягались мозговые извилины специалиста…Тотальный беспредел, другими словами… Попросила регламент, где прописаны сроки рассмотрения дела, менеджер call-центра скинула мне то, что в гугле нашла, где Вы их берёте, таких менеджеров???Писала жалобу на e-otinish, вчера перезвонила специались шарашкиной конторы и тоже пропала без вести… Спустя 6 дней с момента загрузки постановления суда, я надеюсь, что у специалистов хватит образования, прочитать его, хотя там 3 страницы, переживаю… Что касается выплаты, как уверила менеджер call-центра она будет, но сумма у Вас не маленькая же, Вы же должны понимать, это займёт время! В этой жизни бы хотелось конечно получить свою выплату!!! Убеждена, что тренинги в компании исключительно на тему : « Как создать максимальные условия для того, чтобы задержать выплату» премию дают как раз за затягивание процесса, уже суд даже случился, суд, а эти до сих пор не могут выплату подтвердить уже не говорю, чтобы сделать!!! Менеджмента нет в данной системе, позор работать в такой компании, себя не уважать! Пусть сотрудники, которые намеренно затягивают выплату как-нибудь станут сами жертвами своей системы!!!;Juliya Paimullina;False;False;;5;0;;0;2gis;
148024018;2025-03-27;19:01:13;2;Ужасный не профессионализм! Я в шоке! Зашла оформить страховку на выезд за границу, тк онлайн не получилось. На ресепшен никого нет, прошла дальше, начали футболить из кабинета в кабинет, бегать и спрашивать, кто может это сделать. В итоге, отправили в какой то кабинет, где парень узнав, что мне нужно, тоже убежал, пропал на какое-то время, вернувшись сообщил, что он работает недавно и такую страховку делать не умеет. 😣 нет слов!;Dinara Dossymbekova;False;False;;4;0;;0;2gis;
143739436;2025-03-06;19:24:34;1;Отличное заведение. В 17-15 менеджер уже отпросился, потому что висит база.;Евгений Пятышев;False;False;;2;0;;0;2gis;
137502624;2025-02-03;15:27:41;1;Ужасно просто нет слов самая просто ДНО а не компания люди не страхуйте там даже не думайте там просто умственно отсталые все работают;Шерхан Ходжахметов;False;False;;3;0;;0;2gis;
115419516;2024-10-11;09:29:28;1;Это ужасная компания с которым я работал, то ущерб хотят посчитать онлайн, потом офлайн. Специально тянут время, откуда то находят фэйковые сайты с запчастями. В итоге цену спустили в пять раз. Вообще не рекомендую здесь страховать, даже не думайте.;Nick Djum;False;False;;2;0;;0;2gis;
102208093;2024-08-07;14:46:05;1;"Самая ужасная страховая компания, которую только можно представить. Попали в ДТП и виновник был там застрахован. Проши 7 кругов ада. Сначала они пытались провести осмотр онлайн. То есть возложить на пострадавшего свою по сути работу: осмотреть, сфотографировать. Наглости нет предела. Далее берут информацию о запчастях с фейковых предложений сайтов, сами которые возможно там и выкладывают. В итоге насчитали ущерб в 2,5 раза меньше независимой оценки. Сумма не покрывала запчасти даже с учетом износа, не говоря уже о восстановительном ремонте. пришлось обращаться к омбудсману. Тот, конечно, сумму поднял в два раза. Так еще после решения омбудсмана пытались всячески тянуть время, нам решение еще не пришло. Вот такая недобросовестная ""компашка"". назвать компанией язык не поворачивается";17 школа У-Ка;False;False;;7;0;;0;2gis;
71617248;2024-01-26;14:49:45;5;Добро пожаловать!;Назым Ардабаева;False;False;;1;0;;0;2gis;
